curva_i,curva_j,pearson,dtw
"(2, 2, 0)","(3, 2, 8)",0.13092728,30.458716310560703
"(2, 2, 0)","(3, 3, 0)",0.37136605,45.130093298852444
"(2, 2, 0)","(3, 3, 1)",0.08554204,42.476001530885696
"(2, 2, 0)","(3, 3, 2)",0.10802699,53.22823812812567
"(2, 2, 0)","(3, 3, 3)",0.20202589,103.34033526480198
"(2, 2, 0)","(3, 3, 4)",0.112711005,58.84738916903734
"(2, 2, 0)","(3, 3, 5)",-0.032646388,36.594708137214184
"(2, 2, 0)","(3, 3, 6)",0.2087641,86.18905963748693
"(2, 2, 0)","(3, 3, 7)",0.2824688,40.88554975762963
"(2, 2, 0)","(3, 3, 8)",-0.015826572,64.34854882955551
"(2, 2, 0)","(3, 4, 0)",0.447944,52.598131753504276
"(2, 2, 0)","(3, 4, 1)",0.15263858,45.67559269443154
"(2, 2, 0)","(3, 4, 2)",0.123251185,55.17544535920024
"(2, 2, 0)","(3, 4, 3)",0.21271122,91.36453887820244
"(2, 2, 0)","(3, 4, 4)",0.120041884,57.32720484212041
"(2, 2, 0)","(3, 4, 5)",-0.09972065,40.48924911022186
"(2, 2, 0)","(3, 4, 6)",0.28617808,83.92408953607082
"(2, 2, 0)","(3, 4, 7)",0.30071014,35.81926630437374
"(2, 2, 0)","(3, 4, 8)",0.13152105,64.43627029657364
"(2, 2, 0)","(3, 5, 0)",0.46511805,52.44922647625208
"(2, 2, 0)","(3, 5, 1)",0.17522684,42.055341854691505
"(2, 2, 0)","(3, 5, 2)",0.119611345,57.570470713078976
"(2, 2, 0)","(3, 5, 3)",0.23020032,84.61255721002817
"(2, 2, 0)","(3, 5, 4)",0.21538869,57.55375549942255
"(2, 2, 0)","(3, 5, 5)",-0.09115604,39.69538199156523
"(2, 2, 0)","(3, 5, 6)",0.28485137,83.91756862401962
"(2, 2, 0)","(3, 5, 7)",0.30438513,34.593220088630915
"(2, 2, 0)","(3, 5, 8)",0.06592723,62.35446245223284
"(2, 2, 0)","(3, 6, 0)",0.32391378,63.45602670311928
"(2, 2, 0)","(3, 6, 1)",0.27351433,47.8915022239089
"(2, 2, 0)","(3, 6, 2)",0.19535066,55.52933969348669
"(2, 2, 0)","(3, 6, 3)",0.22420107,93.48318395763636
"(2, 2, 0)","(3, 6, 4)",0.2492021,58.37555718049407
"(2, 2, 0)","(3, 6, 5)",-0.11715332,40.05036794394255
"(2, 2, 0)","(3, 6, 6)",0.34549662,82.7764585018158
"(2, 2, 0)","(3, 6, 7)",0.19873618,50.338835433125496
"(2, 2, 0)","(3, 6, 8)",0.029881261,95.58304259181023
"(2, 2, 0)","(3, 7, 0)",0.37914744,69.24983176589012
"(2, 2, 0)","(3, 7, 1)",0.30270037,61.597361490130424
"(2, 2, 0)","(3, 7, 2)",0.16040662,56.47055462747812
"(2, 2, 0)","(3, 7, 3)",0.27124816,80.26053294539452
"(2, 2, 0)","(3, 7, 4)",0.3198511,57.76790622621775
"(2, 2, 0)","(3, 7, 5)",-0.12987313,42.12110002338886
"(2, 2, 0)","(3, 7, 6)",0.3668146,78.40403041243553
"(2, 2, 0)","(3, 7, 7)",0.11537196,51.036319341510534
"(2, 2, 0)","(3, 7, 8)",0.08688828,88.13107180595398
"(2, 2, 0)","(3, 8, 0)",0.3759361,63.63604234904051
"(2, 2, 0)","(3, 8, 1)",0.32188657,58.18821819126606
"(2, 2, 0)","(3, 8, 2)",0.18041141,55.67360946536064
"(2, 2, 0)","(3, 8, 3)",0.24592075,94.5664547085762
"(2, 2, 0)","(3, 8, 4)",0.2778298,62.1387165337801
"(2, 2, 0)","(3, 8, 5)",-0.1822936,39.16859761252999
"(2, 2, 0)","(3, 8, 6)",0.38518912,81.96277875453234
"(2, 2, 0)","(3, 8, 7)",0.14049493,47.15014001727104
"(2, 2, 0)","(3, 8, 8)",0.11775041,93.24567610025406
"(2, 2, 0)","(3, 9, 0)",0.4034849,77.95210409164429
"(2, 2, 0)","(3, 9, 1)",0.43391728,75.1394525244832
"(2, 2, 0)","(3, 9, 2)",0.1104611,56.55881520360708
"(2, 2, 0)","(3, 9, 3)",0.17178677,103.68996879458427
"(2, 2, 0)","(3, 9, 4)",0.11080624,60.239943861961365
"(2, 2, 0)","(3, 9, 5)",-0.10692659,45.2679745182395
"(2, 2, 0)","(3, 9, 6)",0.2370725,88.70606483519077
"(2, 2, 0)","(3, 9, 7)",0.1692681,58.02485176920891
"(2, 2, 0)","(3, 9, 8)",0.04014836,91.71897420287132
"(2, 2, 0)","(5, 2, 0)",0.17700468,24.399090625345707
"(2, 2, 0)","(5, 2, 1)",0.3587897,37.98743365705013
"(2, 2, 0)","(5, 2, 2)",-0.16858734,33.664616987109184
"(2, 2, 0)","(5, 2, 3)",0.11381277,30.492797330021858
"(2, 2, 0)","(5, 2, 4)",0.12192565,42.67966279387474
"(2, 2, 0)","(5, 2, 5)",-0.011917556,32.46961100399494
"(2, 2, 0)","(5, 2, 6)",0.112599835,37.68866142630577
"(2, 2, 0)","(5, 2, 7)",0.104000546,52.98668074607849
"(2, 2, 0)","(5, 2, 8)",0.107646294,38.20351653546095
"(2, 2, 0)","(5, 3, 0)",0.041146602,89.83041998744011
"(2, 2, 0)","(5, 3, 1)",0.30012,77.53068366646767
"(2, 2, 0)","(5, 3, 2)",0.19105932,90.26313254237175
"(2, 2, 0)","(5, 3, 3)",0.15473932,143.08643627166748
"(2, 2, 0)","(5, 3, 4)",0.11729759,61.94590789079666
"(2, 2, 0)","(5, 3, 5)",0.006186208,55.14414136111736
"(2, 2, 0)","(5, 3, 6)",0.15862267,123.29443913698196
"(2, 2, 0)","(5, 3, 7)",0.07079524,73.25281196832657
"(2, 2, 0)","(5, 3, 8)",0.09690342,88.45026747882366
"(2, 2, 0)","(5, 4, 0)",0.17859076,96.43463584780693
"(2, 2, 0)","(5, 4, 1)",0.3335791,82.59460166096687
"(2, 2, 0)","(5, 4, 2)",0.25975886,77.23030555993319
"(2, 2, 0)","(5, 4, 3)",0.13074374,133.70403316617012
"(2, 2, 0)","(5, 4, 4)",0.0968505,67.50422790646553
"(2, 2, 0)","(5, 4, 5)",-0.037394695,66.49142472445965
"(2, 2, 0)","(5, 4, 6)",0.19255881,134.32216131687164
"(2, 2, 0)","(5, 4, 7)",0.1667857,65.41335362195969
"(2, 2, 0)","(5, 4, 8)",0.19920222,96.22312259674072
"(2, 2, 0)","(5, 5, 0)",0.15514965,93.65987306833267
"(2, 2, 0)","(5, 5, 1)",0.38065386,72.43736416101456
"(2, 2, 0)","(5, 5, 2)",0.22122924,89.46400994062424
"(2, 2, 0)","(5, 5, 3)",0.18537457,130.99354881048203
"(2, 2, 0)","(5, 5, 4)",0.2020381,71.6369366645813
"(2, 2, 0)","(5, 5, 5)",-0.072565116,62.12293693423271
"(2, 2, 0)","(5, 5, 6)",0.17339303,126.80309331417084
"(2, 2, 0)","(5, 5, 7)",0.18806338,56.3416942358017
"(2, 2, 0)","(5, 5, 8)",0.1642885,87.10832887887955
"(2, 2, 0)","(5, 6, 0)",0.028715992,135.5107752084732
"(2, 2, 0)","(5, 6, 1)",0.40202868,94.75441914796829
"(2, 2, 0)","(5, 6, 2)",0.213054,87.45129071176052
"(2, 2, 0)","(5, 6, 3)",0.16973907,141.68938580155373
"(2, 2, 0)","(5, 6, 4)",0.35296318,68.82707746326923
"(2, 2, 0)","(5, 6, 5)",-0.1233982,68.3881187736988
"(2, 2, 0)","(5, 6, 6)",0.31028605,112.23028941452503
"(2, 2, 0)","(5, 6, 7)",0.058083516,84.66468566656113
"(2, 2, 0)","(5, 6, 8)",0.19658495,143.89358100295067
"(2, 2, 0)","(5, 7, 0)",0.16457401,133.88662162423134
"(2, 2, 0)","(5, 7, 1)",0.38575575,110.0516776740551
"(2, 2, 0)","(5, 7, 2)",0.20474522,84.06390814483166
"(2, 2, 0)","(5, 7, 3)",0.25755197,139.91762679815292
"(2, 2, 0)","(5, 7, 4)",0.42758733,76.46703514456749
"(2, 2, 0)","(5, 7, 5)",-0.16402012,80.84731739759445
"(2, 2, 0)","(5, 7, 6)",0.29866403,110.7582977116108
"(2, 2, 0)","(5, 7, 7)",0.07278573,87.02842465043068
"(2, 2, 0)","(5, 7, 8)",0.23958746,143.69603663682938
"(2, 2, 0)","(5, 8, 0)",0.10854889,145.94145387411118
"(2, 2, 0)","(5, 8, 1)",0.4219708,102.99235548079014
"(2, 2, 0)","(5, 8, 2)",0.23094264,81.2049880027771
"(2, 2, 0)","(5, 8, 3)",0.23159838,139.65973961353302
"(2, 2, 0)","(5, 8, 4)",0.39740667,86.14569625258446
"(2, 2, 0)","(5, 8, 5)",-0.17311737,78.01579330861568
"(2, 2, 0)","(5, 8, 6)",0.34822273,105.98938325047493
"(2, 2, 0)","(5, 8, 7)",0.08995485,71.21770605444908
"(2, 2, 0)","(5, 8, 8)",0.23380846,129.52126821875572
"(2, 2, 0)","(5, 9, 0)",0.13251145,155.12223410606384
"(2, 2, 0)","(5, 9, 1)",0.34340164,116.67913638055325
"(2, 2, 0)","(5, 9, 2)",0.098730356,89.70847190916538
"(2, 2, 0)","(5, 9, 3)",0.14600918,167.74891221523285
"(2, 2, 0)","(5, 9, 4)",0.13433476,80.73384048044682
"(2, 2, 0)","(5, 9, 5)",-0.049155656,94.42464047670364
"(2, 2, 0)","(5, 9, 6)",0.22898944,135.55009147524834
"(2, 2, 0)","(5, 9, 7)",0.0911125,84.53393705189228
"(2, 2, 0)","(5, 9, 8)",0.12984501,166.147693246603
"(2, 2, 1)","(2, 2, 2)",0.033542924,15.755931440740824
"(2, 2, 1)","(2, 2, 3)",0.115061074,17.75204721465707
"(2, 2, 1)","(2, 2, 4)",0.2925449,16.817990340292454
"(2, 2, 1)","(2, 2, 5)",0.07741385,17.007412986829877
"(2, 2, 1)","(2, 2, 6)",0.06260462,16.466922838240862
"(2, 2, 1)","(2, 2, 7)",-0.0014079866,18.616582915186882
"(2, 2, 1)","(2, 2, 8)",-0.061496932,26.98096538335085
"(2, 2, 1)","(2, 3, 0)",-0.025875745,22.90228697657585
"(2, 2, 1)","(2, 3, 1)",0.4991133,28.795745752751827
"(2, 2, 1)","(2, 3, 2)",-0.020346483,48.191888846457005
"(2, 2, 1)","(2, 3, 3)",0.058586456,75.8362664282322
"(2, 2, 1)","(2, 3, 4)",0.08855393,41.66124631464481
"(2, 2, 1)","(2, 3, 5)",0.045931365,19.62011308223009
"(2, 2, 1)","(2, 3, 6)",0.033994585,57.07095942646265
